INDEPENDENT CPU MODEL REFERENCE + PRODUCTION SWIFT MASKS; NOT APPLE CORE ML OR iOS RENDER
Complete dense normalized field: 518×392, 203056 finite samples
Tap,x,y,normalized_depth,near_focus_blur_0_255,far_focus_blur_0_255
1,0.8393470790378006,0.5483247422680413,0.2730504,255,0
2,0.7250859106529209,0.5393041237113402,0.22184008,255,0
3,0.47079037800687284,0.8537371134020618,0.86045516,0,255
4,0.49140893470790376,0.7712628865979381,0.84676397,0,255
5,0.4845360824742268,0.7854381443298968,0.8525564,0,255
6,0.7414089347079037,0.5747422680412371,0.22881733,255,0
7,0.4845360824742268,0.8698453608247421,0.86730075,0,255
8,0.49742268041237114,0.8524484536082474,0.8599286,0,255
Region,x,y,normalized_depth,near_focus_blur_0_255,far_focus_blur_0_255
monitor,0.15,0.52,0.6766772,0,237
bottle,0.4845360824742268,0.7854381443298968,0.8525564,0,255
yellow toy,0.21,0.9,0.97103786,0,255
cabinet,0.8393470790378006,0.5483247422680413,0.2730504,255,0
Mask difference pixel count: 203056
